exec_entity_id,type,json_value,string_value
1303218,sectors,"[""Consumer, Retail & Leisure""]",
1303218,sub_sectors,"[""Consumer Services""]",
1231661,hq_address,,United States
1231661,scale,,Small Cap
1028160,hq_address,,
1028160,scale,,Small Cap
1283840,hq_address,,United Kingdom
1283840,industry_tags,"[""Marketing and Content Management Software"",""Legal and Professional Services Software""]",
1283840,scale,,Mid Cap
1283840,sectors,"[""Technology & Telecoms""]",
1283840,sub_sectors,"[""Software""]",
1363467,industry_tags,"[""Utilities and Telecoms Software""]",
1363467,scale,,Mid Cap
1363467,sectors,"[""Technology & Telecoms""]",
1363467,sub_sectors,"[""Software""]",
5384512,hq_address,,United Kingdom
5384512,scale,,TBC
5384512,sectors,"[""Financial Services""]",
5384512,sub_sectors,"[""Insurance""]",
1457711,hq_address,,Germany
1457711,scale,,Small Cap
1145137,scale,,TBC
1166383,hq_address,,United Kingdom
1166383,industry_tags,"[""Passenger Transportation""]",
1166383,scale,,Very Large Cap
1166383,sectors,"[""Business Services""]",
1166383,sub_sectors,"[""Transportation and Freight Services""]",
5386430,hq_address,,United States
5386430,scale,,Small Cap
1193558,industry_tags,"[""Engineering and Construction"",""Installation, Maintenance and Technical Services""]",
1193558,scale,,Very Large Cap
1193558,sectors,"[""Business Services""]",
1193558,sub_sectors,"[""Facilities Management"",""Industrial Services""]",
1136125,hq_address,,United Kingdom
1136125,industry_tags,"[""Engineering and Construction"",""Engineering and Industrial Consulting"",""Program \/ Construction Management""]",
1136125,scale,,Very Large Cap
1136125,sectors,"[""Business Services""]",
1136125,sub_sectors,"[""Industrial Services"",""Professional Services and BPO""]",
1329451,hq_address,,Switzerland
1329451,hq_address,,Switzerland
1329451,industry_tags,"[""Industrial and Built Environment Software""]",
1329451,scale,,Very Large Cap
1329451,sectors,"[""Technology & Telecoms""]",
1329451,sub_sectors,"[""Telecoms"",""Software""]",
5411774,hq_address,,Australia
5411774,industry_tags,"[""Utilities and Telecoms Software""]",
5411774,scale,,Large Cap
5411774,sectors,"[""Technology & Telecoms""]",
5411774,sub_sectors,"[""Software""]",
5386819,industry_tags,"[""Industrial and Built Environment Software"",""Database, Data Management, and Analytics Software""]",
5386819,scale,,Mid Cap
5386819,sectors,"[""Technology & Telecoms""]",
5386819,sub_sectors,"[""Software""]",
5411779,hq_address,,United States
5411779,industry_tags,"[""Healthcare Data and Analytics"",""CRM and Customer Experience (CX) Software""]",
5411779,scale,,Mid Cap
5411779,sectors,"[""Technology & Telecoms"",""Business Services""]",
5411779,sub_sectors,"[""Data & Information Services"",""Software""]",
1350548,hq_address,,United States
1350548,industry_tags,"[""Legal and Professional Services Software"",""Financial Services Software"",""Regtech, GRC, and EHS Software""]",
1350548,scale,,Large Cap
1350548,sectors,"[""Technology & Telecoms""]",
1350548,sub_sectors,"[""Software""]",
5411785,hq_address,,
5411785,hq_address,,United States
5411785,industry_tags,"[""Industrial and Built Environment Software"",""ERP, HCM, Accounting, and Tax Software"",""IoT Devices and Robotics"",""IT Hardware OEMs"",""Utilities and Telecoms Software"",""Supply Chain & Transportation Software"",""Regtech, GRC, and EHS Software"",""Tech & IT Infrastructure Software"",""Financial Services Software"",""Healthcare Software"",""Marketing and Content Management Software"",""Retail and Leisure Software"",""Public Sector and Education Software"",""Managed Services"",""Database, Data Management, and Analytics Software"",""Enterprise Automation Software"",""Business Productivity Software"",""CRM and Customer Experience (CX) Software"",""Legal and Professional Services Software""]",
5411785,scale,,Very Large Cap
5411785,sectors,"[""Technology & Telecoms""]",
5411785,sub_sectors,"[""Software"",""IT Hardware"",""IT Services""]",
1387181,industry_tags,"[""Industrial and Built Environment Software"",""Database, Data Management, and Analytics Software""]",
1387181,scale,,Mid Cap
1387181,sectors,"[""Technology & Telecoms""]",
1387181,sub_sectors,"[""Software""]",
1317170,industry_tags,"[""Industrial and Built Environment Software"",""Database, Data Management, and Analytics Software""]",
1317170,scale,,Mid Cap
1317170,sectors,"[""Technology & Telecoms""]",
1317170,sub_sectors,"[""Software""]",
1221696,hq_address,,United States
1221696,hq_address,,United States
1221696,industry_tags,"[""Managed Services"",""Consumer Marketplaces"",""Marketing and Content Management Software""]",
1221696,scale,,Very Large Cap
1221696,sectors,"[""Technology & Telecoms""]",
1221696,sub_sectors,"[""IT Services"",""Software""]",
1353415,hq_address,,United States
1353415,industry_tags,"[""Tech & IT Infrastructure Software""]",
1353415,scale,,Large Cap
1353415,sectors,"[""Technology & Telecoms""]",
1353415,sub_sectors,"[""Software""]",
1231739,hq_address,,United States
1231739,industry_tags,"[""Testing and Regulatory Compliance""]",
1231739,scale,,Mid Cap
1231739,sectors,"[""Business Services""]",
1231739,sub_sectors,"[""TIC & Compliance""]",
1315984,industry_tags,"[""Industrial and Built Environment Software"",""Database, Data Management, and Analytics Software""]",
1315984,scale,,Mid Cap
1315984,sectors,"[""Technology & Telecoms""]",
1315984,sub_sectors,"[""Software""]",
5411791,hq_address,,
5411791,hq_address,,United States
5411791,industry_tags,"[""Industrial and Built Environment Software"",""ERP, HCM, Accounting, and Tax Software"",""IoT Devices and Robotics"",""IT Hardware OEMs"",""Utilities and Telecoms Software"",""Supply Chain & Transportation Software"",""Regtech, GRC, and EHS Software"",""Tech & IT Infrastructure Software"",""Financial Services Software"",""Healthcare Software"",""Marketing and Content Management Software"",""Retail and Leisure Software"",""Public Sector and Education Software"",""Managed Services"",""Database, Data Management, and Analytics Software"",""Enterprise Automation Software"",""Business Productivity Software"",""CRM and Customer Experience (CX) Software"",""Legal and Professional Services Software""]",
5411791,scale,,Very Large Cap
5411791,sectors,"[""Technology & Telecoms""]",
5411791,sub_sectors,"[""Software"",""IT Hardware"",""IT Services""]",
1066565,hq_address,,United States
1066565,industry_tags,"[""Testing and Regulatory Compliance""]",
1066565,scale,,Mid Cap
1066565,sectors,"[""Business Services""]",
1066565,sub_sectors,"[""TIC & Compliance""]",
1205434,industry_tags,"[""Industrial and Built Environment Software"",""Database, Data Management, and Analytics Software""]",
1205434,scale,,Mid Cap
1205434,sectors,"[""Technology & Telecoms""]",
1205434,sub_sectors,"[""Software""]",
1462989,scale,,TBC
1118695,hq_address,,United States
1118695,industry_tags,"[""Marketing and Content Management Software"",""CRM and Customer Experience (CX) Software""]",
1118695,scale,,Large Cap
1118695,sectors,"[""Technology & Telecoms""]",
1118695,sub_sectors,"[""Software""]",
1453075,hq_address,,United States
1453075,industry_tags,"[""Healthcare Software""]",
1453075,scale,,Large Cap
1453075,sectors,"[""Technology & Telecoms""]",
1453075,sub_sectors,"[""Software""]",
1207584,industry_tags,"[""Cybersecurity Software"",""Consumer \/ Prosumer Software""]",
1207584,scale,,Very Large Cap
1207584,sectors,"[""Technology & Telecoms""]",
1207584,sub_sectors,"[""Software""]",
1459045,hq_address,,Canada
1459045,industry_tags,"[""Managed Services""]",
1459045,scale,,Mid Cap
1459045,sectors,"[""Technology & Telecoms""]",
1459045,sub_sectors,"[""IT Services""]",
1049664,hq_address,,United States
1049664,industry_tags,"[""Communication Software"",""Tech & IT Infrastructure Software""]",
1049664,scale,,Very Large Cap
1049664,sectors,"[""Technology & Telecoms""]",
1049664,sub_sectors,"[""Software""]",
1074370,hq_address,,United States
1074370,industry_tags,"[""Cybersecurity Software""]",
1074370,scale,,Very Large Cap
1074370,sectors,"[""Technology & Telecoms""]",
1074370,sub_sectors,"[""Software""]",
5413107,hq_address,,France
5413107,hq_address,,France
5413107,hq_address,,France
5413107,industry_tags,"[""Other Information Services"",""Legal and Regulatory Data""]",
5413107,scale,,Mid Cap
5413107,sectors,"[""Business Services""]",
5413107,sub_sectors,"[""Data & Information Services""]",
5413114,hq_address,,France
5413114,hq_address,,France
5413114,hq_address,,France
5413114,industry_tags,"[""Other Information Services"",""Legal and Regulatory Data""]",
