assignment_id,exec_entity_id,outcome
6969,1439583,0
6969,1441329,0
6969,1179892,0
6969,1050130,0
6969,1443203,0
6969,1223561,0
6969,1444881,0
6969,1444879,0
6969,1444889,0
6969,1075801,0
6969,1441285,0
6969,1441283,0
6969,1443677,0
6969,1444875,0
6969,1443773,0
6969,1315502,0
6969,1444869,0
6969,1444883,0
6969,947448,0
6969,1445897,0
6969,1446215,0
6969,1446139,0
6969,1445129,0
6292,1226743,0
6292,1029877,0
6292,5385271,0
6292,1055239,0
6292,1224734,0
6292,1226599,0
6292,1071394,0
6292,978020,0
6292,1226675,0
6292,1200519,0
6292,1226541,0
6292,941947,0
6292,1203715,0
6292,1338538,0
6292,1097492,0
6292,1057634,0
6292,1226543,0
6292,1308791,0
6292,1225346,0
6292,1309457,0
6292,1310467,0
6292,1029879,0
6292,1048038,0
6292,1224704,0
6292,1224700,0
6292,1226681,0
6292,1225240,0
6292,1309489,0
6292,1056007,0
6292,1057940,0
6292,1309549,0
6292,1375255,0
6292,1226519,0
6870,1384855,0
6870,1410349,0
6870,1384687,0
6870,1384839,0
6870,1460663,0
6870,1384841,0
6870,1382987,0
6870,1384683,0
6870,1384847,0
6870,1384845,0
6870,1323408,0
6870,1382443,0
6870,1384673,0
6870,1035313,0
6870,1384857,0
6870,1398661,0
6870,1384675,0
6870,1384693,0
6870,1080338,0
6870,1267142,0
6870,1384825,0
6870,1384827,0
6870,1384835,0
6870,1384851,0
6870,1384849,0
7242,1348068,0
7242,947562,0
7242,1029651,0
7242,1230793,0
7242,1130870,0
7242,5457762,0
7242,977388,0
7242,1382659,0
7242,1036835,0
7242,5457545,0
7242,5457542,0
7242,5459543,0
7242,5459546,0
7242,1205028,0
7242,1002382,0
7242,1046750,0
7242,1215305,0
7242,5459877,0
7242,1167676,0
7242,5459881,0
7242,5459883,0
7242,1368461,0
7242,5459894,0
7242,1039737,0
7242,942244,0
7242,1173172,0
7242,1129138,0
7242,1065302,0
7242,1066207,0
7242,5461029,0
7242,19581310,0
7242,19581312,0
7242,977390,0
6514,1383989,0
6514,1157556,0
6514,1254954,0
6514,1254910,0
6514,1117499,0
6514,1117774,0
6514,1472443,0
6514,1257412,0
6514,1350472,0
6514,1117445,0
6514,1175087,0
6514,3789659,0
6514,1320604,0
6514,1104188,0
6514,1432237,0
6514,1341610,0
6514,1461615,0
6514,1289434,0
6514,1174892,0
6514,1270148,0
6514,1270150,0
6514,3787565,0
6514,1270820,0
6514,1390771,0
6514,1254906,0
6514,1122250,0
6514,1369751,0
6514,1117505,0
6514,1039811,0
6514,1254900,0
6514,1052087,0
6514,1027900,0
6514,1255036,0
6514,1117218,0
6514,1454121,0
6514,3788635,0
6514,1354079,0
6514,1257448,0
6514,1255056,0
6514,1323042,0
6514,1117232,0
6514,1424147,0
6514,1117301,0
6514,1257402,0
6514,1300946,0
6514,1340898,0
6514,1204542,0
6514,1111013,0
6514,1255026,0
6514,1350002,0
6514,1204652,0
6514,1354433,0
6514,1117435,0
6514,1157556,0
6514,1349808,0
6514,1255174,0
6514,1354575,0
6514,1117513,0
6514,1117214,0
6514,1257380,0
6514,1303036,0
6514,1255188,0
6514,1450961,0
6514,1122306,0
6514,1117431,0
6514,1132025,0
6514,3792660,0
6514,1369795,0
6514,1118086,0
6514,1255064,0
6514,1353997,0
6514,1391527,0
6514,1117272,0
6514,1121648,0
6514,1056725,0
6514,1117515,0
6514,1255030,0
6514,1117856,0
6514,1254908,0
6514,1254996,0
6514,1117539,0
6514,1270330,0
6514,1117228,0
6514,1129899,0
6514,1117274,0
6514,1068104,0
6514,1184742,0
6514,1389215,0
6514,1117922,0
6514,1122310,0
6514,1397929,0
6514,1129422,0
6514,1117284,0
6514,1399883,0
6514,1255044,0
6514,1129426,0
6514,1066675,0
6514,1420295,0
6514,1257396,0
6514,1174464,0
6514,1254936,0
6514,1248529,0
6514,1027038,0
6514,1270150,0
6514,1254894,0
6514,1254896,0
6514,1254898,0
6514,1254904,0
6514,1254924,0
6514,1254952,0
6514,1254956,0
6514,1254992,0
6514,1255010,0
6514,1255014,0
6514,1255016,0
6514,1255020,0
6514,1255032,0
6514,1255042,0
6514,1027602,0
6514,1117699,0
6514,1052473,0
