assignment_id,industry,sectors,sub_sectors,scale,country
6924,"[""Biotechnology"",""Clinical Trial Services \/ CROs""]","[""Healthcare & Pharmaceuticals""]","[""Pharmaceuticals, Biotech and Pharma Services""]",Very Large Cap,Germany
6602,"[""Veterinary Services""]","[""Healthcare & Pharmaceuticals""]","[""Patient Services""]",Large Cap,United Kingdom
6148,"[""Financial Services Software"",""ERP, HCM, Accounting, and Tax Software""]","[""Technology & Telecoms""]","[""Software""]",Large Cap,United States
6151,"[""Assurance \/ Control"",""Testing and Regulatory Compliance"",""Inspection"",""Certification""]","[""Business Services""]","[""TIC & Compliance""]",Large Cap,United Kingdom
6119,"[""IT Distributors"",""Value Added Resellers (VARs)""]","[""Technology & Telecoms""]","[""IT Services""]",Mid Cap,Denmark
5976,"[""Payments"",""Financial Services Software"",""Procurement and Accounts Receivable Software""]","[""Technology & Telecoms"",""Financial Services""]","[""Software"",""Banking""]",Mid Cap,Germany
7226,"[""Industrial and Built Environment Software"",""Database, Data Management, and Analytics Software""]","[""Technology & Telecoms""]","[""Software""]",Mid Cap,
6603,"[""K-12 Education and Care""]","[""Consumer, Retail & Leisure""]","[""Education and Training""]",Mid Cap,United Kingdom
6277,"[""Textiles""]","[""Industrials & Materials""]","[""Chemicals and Materials""]",Mid Cap,United Kingdom
7035,"[""Wealth Management""]","[""Financial Services""]","[""Asset and Wealth Management""]",Very Large Cap,United Kingdom
7169,"[""Flavours, Fragrances and Ingredients""]","[""Industrials & Materials""]","[""Chemicals and Materials""]",Mid Cap,France
5988,"[""Healthcare Data and Analytics"",""Healthcare Software"",""Regtech, GRC, and EHS Software""]","[""Technology & Telecoms"",""Business Services""]","[""Data & Information Services"",""Software""]",Large Cap,United States
6662,"[""Aircraft Maintenance and Support Services""]","[""Industrials & Materials""]","[""Aerospace and Defence""]",Very Large Cap,
6077,"[""Database, Data Management, and Analytics Software"",""Other Information Services""]","[""Technology & Telecoms"",""Business Services""]","[""Software"",""Data & Information Services""]",Large Cap,France
6593,,,,Small Cap,
6099,"[""Property and Casualty Insurance"",""Insurance Distribution""]","[""Financial Services""]","[""Insurance""]",Large Cap,United Kingdom
6187,"[""B2B Marketplaces""]","[""Business Services""]","[""Data & Information Services""]",Mid Cap,
5944,"[""Financial Services Software"",""Enterprise Automation Software""]","[""Technology & Telecoms""]","[""Software""]",Small Cap,United Kingdom
7048,,,,Small Cap,Luxembourg
7031,"[""Hygiene and Personal Care"",""Beauty and Skincare""]","[""Consumer, Retail & Leisure""]","[""FMCG""]",Very Large Cap,United States
